SITE_NAME,LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,pH_lab_weighted,TOTAL_DEPTH_M
USGS Lead Lake Well 8,39.62186,-118.51014,16.4,7.3,
NWIS Well  (C-23-12) 5cdd- 3,38.83412,-113.22663,16,7.4,61
NWIS Well 026S040E01J001M,35.69857,-117.61812,21,8.2,
NWIS Well  (B- 3-19)26baa- 1,40.95215,-113.99306,21,7.4,309.8
USGS-16,36.25440,-116.36782,,9.6,
NWIS Spring  (B-11- 9)10aaa-S1,41.70076,-112.84248,,7.4,
NWIS Well  (C-20-12) 1aac- 1,39.10635,-112.14549,15,7.3,67.1
NWIS Site,35.54554,-115.39472,23.6,7.7,
USGS Well HL-AH-5A,39.47225,-118.61896,17,7.4,
USGS Well HL-AH-7,39.46956,-118.61549,16.5,7.6,
NWIS Site,38.90880,-119.96407,21.1,7.9,65.9
NWIS Well 026S040E01J001M,35.69857,-117.61812,23,7.7,
Well SW-AH-1,39.55742,-118.51236,16.5,7.4,
USGS Well HL-AH-6A,39.47436,-118.60431,18,7.4,
USGS Well - Smith Creek Valley,39.28298,-117.48482,9,4.7,
NWIS Well  (C-20-12)32aaa- 1,39.03357,-113.21496,13.5,7.2,76.2
NWIS Site,38.90908,-119.96268,21,7.9,24.1
USGS-15,36.25440,-116.36782,,9.5,
USGS-15,36.25440,-116.36782,22.9,9.1,
NWIS Spring  (B-11- 2)29dad-S1,41.65993,-112.08717,54.4,7,
NWIS Well  (C-23-12) 5cdd- 2,38.83385,-113.22607,16,7.6,61
NWIS Spring  (B-11- 2)29dad-S1,41.65993,-112.08717,52.8,7.3,
NWIS Spring  (B-10- 3)30bbd-S1,41.57688,-112.23329,51.1,6.3,
USGS-18,36.24551,-116.36671,17,9.3,
NWIS Spring  (B-10- 4)24ccc-S1,41.58021,-112.25412,42,7,
NWIS Spring  (B-10- 3)30bbd-S1,41.57688,-112.23329,47.8,6.7,
USGS Well PAST-1C,39.35881,-118.68709,12.5,7.4,
NWIS Spring  (B-10- 3)30bbd-S1,41.57688,-112.23329,47.8,6.4,
USGS Well PAST-1D,39.35881,-118.68709,13,7.5,
USGS Well - Smith Creek Valley,39.34465,-117.48121,10.9,7.4,
NWIS Well  (C- 1-18)17bdb- 1,40.74382,-113.92390,13,6.6,231.7
Fallon Tribe Well 13,39.54992,-118.58376,14.7,7.2,
USGS Well PAST-1B,39.35881,-118.68709,12.5,7.4,
USGS Well - Smith Creek Valley,39.33854,-117.47288,9.1,6.2,
NWIS Well  (C-23-12) 6dac- 1,38.83885,-113.23746,16.5,7.5,61
NWIS Well  (B-12-10)19bcb- 1,41.75270,-113.03471,,6.8,
NWIS Spring  (B-10- 3)30bbd-S1,41.57688,-112.23329,42.5,6.6,
NWIS Well 028 N34 E26 08CB 2,40.82850,-119.09142,13.6,8.7,
USGS Well CDDH-58B,39.72408,-118.75237,16,8.6,3.1
USGS Well CDR-28,39.48381,-118.59320,14.3,7.2,8.8
NWIS Well  (B- 1- 2)25cad- 2,40.78772,-112.01744,29,8.4,243.9
USGS Well PAST-1B,39.35881,-118.68709,14.3,8,
USGS Well PAST-1B,39.35881,-118.68709,16,7.5,
NWIS Spring  (B-10- 3)30bbd-S1,41.57688,-112.23329,47.2,7.1,
NWIS Spring  (B-10- 3)30bbd-S1,41.57688,-112.23329,45,7.3,
NWIS Well  (B- 3-18) 7ccc- 5,41.00937,-113.95945,17.5,7.6,320.1
USGS Well CDD2-4B,39.35464,-118.68681,13,7.5,
USGS-17,36.25440,-116.36782,,9.1,
NWIS Well  (B- 3-18) 7ccc- 5,41.00937,-113.95945,16,7.3,324.4
NWIS Well  (B- 1-18)31dac- 2,40.78187,-113.94028,19,7.9,243.9
USGS Well CDD2-2C,39.35742,-118.68709,12.5,7.4,
USGS Well CDD2-2B,39.35742,-118.68709,13.5,7.4,
USGS Well CDD2-2A,39.35742,-118.68709,13.5,7.5,
Silver Peak Hot Springs / Silverpeak Hot Springs / Waterworks Hot Springs,37.76019,-117.63201,40,7.18,
USGS Well CDD2-4C,39.35464,-118.68681,12.5,7.5,
NWIS Spring  (C- 2- 6)16aad-S1,40.64633,-112.52468,24.4,7.5,213.4
NWIS Well 101 N19 E31 19DADB1,39.49464,-118.53820,17,7.4,
USGS Well CDD2-3A,39.35603,-118.68709,12,7.4,
USGS Well CDD2-3B,39.35603,-118.68709,13,7.6,
USGS Well CDD2-4A,39.35464,-118.68681,12,7.4,
NWIS Spring  (B-11-11) 7ccc-S1,41.68742,-113.15166,15,7.4,
NWIS Well 030S038E03B001M,35.36024,-117.88757,,6.7,30.2
USGS Well HL-AH-6A,39.47436,-118.60431,13.5,7.3,
NWIS Well 026S040E06C001M,35.70968,-117.71673,20.5,9.9,
NWIS Spring  (B- 7- 2)14dca-S1,41.33744,-112.02855,57,7,
USGS Well CDD2-3C,39.35603,-118.68709,13.5,7.6,
NWIS Well  (C-20-12)32abd- 1,39.06690,-113.16746,15.5,7.8,76.8
NWIS Spring  (B- 7- 2)14dca-S1,41.33744,-112.02855,58.5,7.5,
NWIS Spring  (C-10-14)33cdc-S1,39.90633,-113.43109,55.6,7.2,129.7
NWIS Spring  (C-11-14) 5aab-S1,39.90077,-113.44998,22.5,6.9,129.7
USGS Well CDR-22,39.47270,-118.66598,21,7.3,
USGS Brown Well,39.29781,-117.46398,10.8,9.2,
NWIS Spring  (C-10-14)33c  -S,39.98883,-113.43137,60.5,7.4,134.5
NWIS Well  (B- 1- 2)19aca- 3,40.80800,-112.10661,14.5,7.9,243.9
NWIS Spring  (B-11-11) 6dbb-S1,41.70937,-113.14527,18.9,7.2,
NWIS Well 030S038E03B001M,35.36024,-117.88757,26,7.4,30.2
NWIS Site,35.52665,-115.39333,21.4,8,
NWIS Spring  (B-11-11)19daa-S1,41.67909,-113.13554,13.9,7.5,
NWIS Well  (C- 5- 5)16bbd- 1,40.38772,-112.41940,15.5,6.9,158.8
USGS Well CDR-22,39.47270,-118.66598,17,7.8,3.4
USGS Well CDD2-5C,39.35325,-118.68681,13,7.6,
NWIS Well  (C-18-10)25cad- 1,39.21884,-112.92662,14,7.5,85.7
NWIS Well  (C- 5- 5)20daa- 2,40.36883,-112.42273,12.5,7.2,156.1
NWIS Well  (C- 5- 5)20daa- 2,40.36883,-112.42273,14.5,6.9,156.1
NWIS Well 028 N34 E26 08CB 1,40.82850,-119.09142,13,9.6,
NWIS Well  (C- 5- 5)16bbd- 1,40.38772,-112.41940,15,6.9,158.8
NWIS Well  (C- 5- 5)20daa- 2,40.36883,-112.42273,13,6.9,156.1
USGS Lead Lake Well 5 (Fence),39.61020,-118.54125,15.6,7.2,
Well CL-AH-2B,39.33825,-118.74626,19,7.5,
NWIS Well  (C-24-13)13aac- 1,38.73079,-113.25219,16,7.1,57.9
NWIS Well  (C- 5- 5)16bbd- 1,40.38772,-112.41940,13,6.8,158.8
NWIS Well 026S039E30F001M,35.64745,-117.82146,25.5,7.3,189.6
NWIS Well  (C- 5- 5)20daa- 2,40.36883,-112.42273,14,6.9,156.1
USGS Lead Lake Well 5 (Fence),39.61020,-118.54125,13.5,7.2,
NWIS Well 028 N35 E25 13BBB 1,40.90629,-119.13851,14.8,7.6,
USGS Lead Lake Well 5 (Fence),39.61020,-118.54125,14,7.2,
NWIS Well  (A- 1- 2)27bdd- 3,40.79106,-111.71326,12,6.9,243.9
USGS Lead Lake Well 1,39.61408,-118.55014,17.2,7.3,
USGS Lead Lake Well 1,39.61408,-118.55014,13.5,7.3,
NWIS Site,34.68666,-118.15980,,7.6,184.4
NWIS Well 026 N36 E25 23CDA 1,40.99268,-119.10046,17,7.6,
NWIS Well  (C- 5- 5)20daa- 2,40.36883,-112.42273,12,6.9,156.1
USGS Lead Lake Well 1,39.61408,-118.55014,15.5,7.3,
USGS Lead Lake Well 2,39.61325,-118.54848,13.5,7.2,
NWIS Well 030S038E03B001M,35.36024,-117.88757,24,7.4,30.2
USGS Lead Lake Well 4,39.61131,-118.54375,14.8,7.3,
USGS Well CDD2-5D,39.35325,-118.68681,13,7.6,
USGS Well - Smith Creek Valley,39.34631,-117.44593,9.2,7.9,
USGS Well CDAH-29B,39.56547,-118.83293,19.3,7.3,
USGS Lead Lake Well 4,39.61131,-118.54375,13,7.3,
USGS FWA-7 Well,39.66352,-119.14711,14,7.3,
USGS Lead Lake Well 4,39.61131,-118.54375,12,7.3,
USGS Lead Lake Well 7,39.60658,-118.49570,14.1,7.5,
USEPA Well L639 - Tailings Pond,36.07053,-115.00222,20,7,
USGS Lead Lake Well 7,39.60658,-118.49570,11,7.6,
NWIS Well 026S041E07D001M,35.69829,-117.61117,20.5,6.1,
USGS Lead Lake Well 7,39.60658,-118.49570,12,7.6,
USGS Lead Lake Well 2,39.61325,-118.54848,15,7.2,
Byers Monitoring Well ,39.38761,-119.74372,86.1,7.49,
SPRING AT WESTERN EDGE OF TOPAZ SLOUGH,39.45634,-112.79134,25,7.8,77.7
NWIS Well  (C-17- 9)30aab- 1,39.31606,-112.89996,14,8.1,91.5
NWIS Well 026S041E07D001M,35.69829,-117.61117,21.5,6.9,
NWIS Well 026S041E07D001M,35.69829,-117.61117,25.5,6.7,
NWIS Well 15S 39E 07DBC1,42.12937,-111.94329,63,6.2,
USGS Well PAST-1D,39.35881,-118.68709,16,7.5,
USGS Well PAST-1D,39.35881,-118.68709,13,7.8,
Coso Well 35-B20,36.00429,-117.79240,37,6.41,
NWIS Well 15S 39E 17BCD1,42.11881,-111.93023,82,7.8,
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,,6.5,243.9
NWIS Well  (C-28-10)21ccd- 1,38.35330,-112.98634,28,7.5,43.6
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,,6.4,243.9
USGS Lead Lake Well 2,39.61325,-118.54848,16,7.1,
USEPA Well L641 - Tailings Pond,36.07053,-115.00305,24,6.9,
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,55.5,7.4,243.9
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,53,6.5,243.9
NWIS Site,38.90908,-119.96351,22.2,6.6,67.7
Coso Well 81A-19,36.01141,-117.79926,37,7.36,
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,54.5,7.6,243.9
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,56,6.7,243.9
NWIS Well 030S038E24F001M,35.31052,-117.85534,,7.9,135.9
NWIS Well 028 N35 E26 05BBA 1,40.93573,-119.09935,14,7.5,
NWIS Site,35.46915,-115.51833,,7.2,17.4
NWIS Well  (C- 1- 2)22bdd- 4,40.71828,-112.05411,13,7.5,229.3
NWIS Well  (D-17- 2)15aca- 1,39.33941,-111.67964,10.5,7.3,91.5
USGS-12,36.27412,-116.37087,20.9,9.2,
NWIS Well 014S044E32Q002M,36.69050,-117.21451,30,7.8,
USBR Well W008 - Tailings Pond,36.06109,-114.99888,22,7.2,
NWIS Site,35.55470,-115.42805,,8.2,487.7
USGS FWA-7 Well,39.66352,-119.14711,13.5,7.5,
Well-10,36.23662,-116.37587,19.5,8.8,
NWIS Spring  (B- 1- 1)14dcb-S1,40.81578,-111.91910,,6.6,243.9
USGS-12,36.27412,-116.37087,,9.6,
NWIS Well  (C- 1- 2)28cdd- 1,40.69661,-112.07439,30.5,7.8,228.7
Pyramid Spring - Pyramid Lake,39.98022,-119.50293,97.8,7.71,
NWIS Well  (C-28-10)21ccd- 1,38.35330,-112.98634,27,7.9,51.8
NWIS Site,35.45443,-115.34221,73,7.5,682.8
NWIS Well 028 N35 E26 30AAA 1,40.87740,-119.10407,13,7.7,
USGS Well LV10,39.64852,-119.83380,14,7.8,
NWIS Well  (C-11-11)12aba- 1,39.88439,-113.02914,37,7,88.4
NWIS Well 08S 25E 03ABB1,42.76269,-113.52001,16.5,7.3,91.5
USGS Well ILGW5,39.56658,-118.67404,16.5,8,
NWIS Well 015S044E36K001M,36.60661,-117.14701,28.5,7.4,
USBR Well PG111 - Tailings Pond,36.07109,-115.00249,22.5,7.2,
NWIS Well 011N007W32M002S,35.00525,-117.64867,31,6.9,161.5
Cinnabar Flat Well,39.83172,-118.83364,18.5,7.68,
Auger Well - Teels Marsh,38.20929,-118.32779,14.1,9.84,
USGS Well LV10,39.64852,-119.83380,15.5,7.7,
Cinnabar Flat Well,39.82388,-118.82744,15.7,7.7,
NWIS Well  (B- 1-18)31dac- 1,40.78187,-113.94028,18,7.8,243.9
NWIS Well  (C- 9-11)33ccb- 1,39.99494,-113.10025,,7.6,132.9
Desert Peak Geothermal Production Well 67-21,39.75401,-118.95142,154.7,6.18,
NWIS Well  (C- 9-11)33ccb- 1,39.99494,-113.10025,19.5,7.3,132.9
NWIS Spring  (B-12- 8)23ddc-S1,41.74798,-112.71053,11.5,7.9,
WAYLAND HOT SPRING,42.13298,-111.92801,77,7,
USBR Well PG103 - Tailings Pond,36.05664,-115.00055,22,7.4,
NWIS Well  (B-12-10)21daa- 1,41.75214,-112.97915,,7.5,
USGS Well CDR-18,39.39075,-118.71598,17.5,7.4,4.3
USGS Well CDAH-27B,39.55853,-118.84488,,8.1,
WAYLAND HOT SPRING,42.13298,-111.92801,77,7.1,
NWIS Spring  (B- 6- 1)23ccd-S1,41.23550,-111.92411,56.5,7.7,
NWIS Well  (C- 1- 1)18bda- 1,40.73495,-111.99772,14,7.8,231.7
NWIS Spring  (B- 6- 1)23ccd-S1,41.23550,-111.92411,57,7.7,
NWIS Spring 018N005E02LS01S,35.67747,-116.41642,21,8.6,
USBR Well WG014 - Tailings Pond,36.10581,-115.03555,14,7.2,
NWIS Well 026S040E11J003M,35.68579,-117.63645,27,7.6,
NWIS Spring  (B- 5- 3)27ccc-S1,41.13689,-112.17606,47.5,7.6,283.5
NWIS Spring  (B-13- 3)23acb-S2,41.85354,-112.15523,51,7.2,
NWIS Well 026S040E11J003M,35.68579,-117.63645,18.5,7.6,
NWIS Spring  (B-10-11) 8db -S1,41.60270,-113.12582,17.2,6.9,
NWIS Well  (C- 1- 3)15cbb- 1,40.73217,-112.17467,26,7.5,231.7
USFWS Well 3 - Stillwater,39.58241,-118.41930,25,7.8,
NWIS Well  (C- 1-19)10aba- 1,40.76215,-113.98723,30,7.6,240.9
USGS FWA-7 Well,39.66352,-119.14711,14,7.6,
USBR Well PG240 - Tailings Pond,36.06331,-115.00333,22.2,7.1,
NWIS Well 015S044E36K001M,36.60661,-117.14701,31.5,7.4,
NWIS Spring  (B-13- 3)23bad-S1,41.85493,-112.15801,42.8,7.9,
USGS Well CDDH-111A,39.52464,-118.49931,16.9,8.4,17.1
NWIS Spring  (B-13- 3)23baa-S1,41.85576,-112.15773,42.8,7.9,
NWIS Site,35.52554,-115.39389,20.7,8.2,
NWIS Spring  (C- 1- 7) 8   -S,40.74161,-112.64580,18.3,7.7,231.7
NWIS Well  (C-21- 8)12dcc- 1,38.99663,-112.69800,15,7.2,76.2
NWIS Well  (C-23- 1) 6cdb- 1,38.82663,-111.95548,16,7.3,61
NWIS Well  (C-42-13) 7bba- 2,37.15304,-113.35939,17.5,7.9,38.7
USGS Well DH-102B,39.58297,-118.55264,19.5,6.9,
USGS Geothermal Well CDDH-14A,39.56880,-118.85099,,7.3,
NWIS Well 015S044E36K003M,36.60661,-117.14090,28.5,7.7,
NWIS Well 025S040E33L001M,35.71607,-117.67840,22,10.2,
NWIS Well 025S040E33L001M,35.71607,-117.67840,21.5,9.3,
NWIS Well  (B- 1- 2)32bcb- 2,40.77856,-112.10078,11,7.9,240.9
NWIS Well  (B- 4-10)25bac- 1,41.05882,-112.92720,16.1,7.5,322.3
NWIS Spring  (C- 1- 7) 9ccc-S1,40.74022,-112.64746,18,7.9,231.7
Warm Spring - Eagle Rock,39.74047,-118.99655,20.2,7.7,
USGS Well DH-102B,39.58297,-118.55264,16,7.7,
USGS Well CDDH-106A,39.50909,-118.58570,15.5,8.6,
NWIS Spring  (C-26- 9)34dcb-S1,38.50191,-112.85106,55,7.9,56.4
NWIS Well 015S045E31M002M,36.60745,-117.13506,29.7,8.8,
